SECOL,REZULTAT
8 BC,"În secolul al VIII-lea î.Hr. (anii 800–701 î.Hr.), teritoriul actual al României se afla în prima epoc? a fierului (perioada Hallstattului mijlociu). Deoarece nu existau izvoare scrise locale în aceast? perioad?, numele unor b?t?lii specifice sau conduc?tori militari nu s-au p?strat. Totu?i, descoperirile arheologice demonstreaz? c? a fost o perioad? marcat? de o accentuare puternic? a caracterului r?zboinic ?i de migra?ii violente.Principalele tipuri de conflicte militare din aceast? perioad? au fost determinate de urm?toarele dinamici:1. Incursiunile nomazilor estici (Pre-sci?ii ?i Cimerienii)Context: În secolul al VIII-lea î.Hr., grupuri de popula?ii nomade de c?l?re?i r?zboinici din stepele de la nordul M?rii Negre (asociate adesea cu cimerienii sau cu valurile timpurii de sci?i) au început s? p?trund? spre vest.Impact militar: Ace?ti r?zboinici au adus pe teritoriul României tehnici noi de lupt? (cavalerie u?oar?), arcuri cu s?ge?i cu vârfuri de bronz ?i pumnale specifice (de tip akinakes mai târziu). P?trunderea lor în zone precum Dobrogea, Moldova ?i estul Transilvaniei a generat, în mod cert, ciocniri violente cu popula?ia autohton?.2. Conflicte inter-tribale pentru resurseAria cultural? autohton?: Popula?ia local? f?cea parte din marea mas? a tracilor septentrionali (str?mo?ii daco-ge?ilor). În aceast? perioad? s-a dezvoltat puternic Cultura Basarabi (r?spândit? în Oltenia, Banat, Muntenia ?i Transilvania).Miza r?zboaielor: Introducerea pe scar? tot mai larg? a metalurgiei fierului a dus la apari?ia unei aristocra?ii militare. Triburile locale se luptau între ele pentru controlul z?c?mintelor de fier, a minelor de sare din Transilvania, a turmelor de vite ?i a celor mai bune rute comerciale.3. Presiunea triburilor ilire în sud-vestÎn partea de sud-vest a ??rii (în special în Oltenia ?i Banat), s-au înregistrat interac?iuni de frontier? ?i conflicte cu triburile ilire din Balcanii de Vest. Aceste presiuni au for?at comunit??ile locale s? î?i fortifice a?ez?rile.Dovezile arheologice ale r?zboiului:Fortifica?iile: Apar tot mai multe a?ez?ri fortificate cu valuri de p?mânt, palisade de lemn ?i ?an?uri adânci de ap?rare, construite pe forme de relief greu accesibile (promontorii, dealuri).Tezaurele de arme: În siturile arheologice din aceast? perioad? s-au descoperit numeroase depozite de arme (vârfuri de lance, topoare de lupt? din bronz ?i fier, spade lungi, pumnale ?i piese de harna?ament).Distrugerile prin foc: Multe a?ez?ri civile din sec. VIII î.Hr. prezint? straturi groase de cenu??, semn c? au fost atacate, arse ?i abandonate în urma unor invazii sau r?zboaie locale."
7 BC,"1. Expansiunea ?i invaziile sci?ilorÎn secolul al VII-lea î.Hr., sci?ii (popula?ie nomad? de origine indo-iranian? din stepele nord-pontice) p?trund masiv în spa?iul carpato-danubiano-pontic.Zone de conflict: Ace?tia au intrat în coliziune cu popula?iile locale geto-trace din Dobrogea, Moldova ?i din interiorul arcului carpatic (bazinul Mure?ului).Dovezi arheologice: Prezen?a conflictelor este demonstrat? de descoperirea unor vârfuri de s?ge?i din bronz cu trei muchii (de tip scitic) înfipte în palisadele sau valurile de p?mânt ale unor a?ez?ri autohtone, precum ?i de straturi de cenu?? care indic? incendierea unor fortifica?ii. Tot acum apar arme specifice, precum pumnalele scitice scurte (akinakes).2. Întemeierea coloniilor grece?ti ?i conflictele de coast?La jum?tatea secolului al VII-lea î.Hr. (în jurul anului 657 î.Hr.), grecii din Milet întemeiaz? Histria, prima colonie greceasc? de pe ??rmul vestic al M?rii Negre (pe teritoriul de azi al jude?ului Constan?a).Natura conflictelor: Stabilirea grecilor nu a fost complet pa?nic?. Colonizarea a generat inevitabil conflicte de frontier? cu comunit??ile locale de ge?i pentru controlul p?mânturilor agricole ?i al rutelor comerciale. De?i s-a ajuns ulterior la alian?e comerciale, primele decenii au fost marcate de tensiuni ?i asedii sporadice din partea triburilor din hinterland.3. Conflictele inter-tribale geto-traceDescoperirile arheologice arat? o cre?tere a num?rului de a?ez?ri fortificate autohtone în aceast? perioad?. Triburile locale de ge?i se aflau adesea în r?zboi unele cu altele pentru:Controlul asupra z?c?mintelor ?i centrelor de prelucrare a metalelor (în special noul metal, fierul).Rutele comerciale care începeau s? se dezvolte de-a lungul Dun?rii ?i c?tre Marea Neagr?."
6 BC,"Campania lui Darius I din anul 513 î.Hr.Darius I, conduc?torul Imperiului Persan Ahemenid, a organizat o uria?? expedi?ie militar? cu scopul de a-i pedepsi ?i supune pe sci?ii nomazi din nordul M?rii Negre. Traseul armatei sale a traversat direct teritoriul de ast?zi al României (Dobrogea).Rezisten?a ge?ilor: În timp ce celelalte triburi trace din Balcani s-au predat f?r? lupt?, ge?ii din zona Dobrogei au fost singurii care au opus o rezisten?? îndârjit? armatei persane.Eroismul local: De?i au fost învin?i de superioritatea numeric? a per?ilor, curajul lor l-a impresionat pe Herodot, care i-a numit în scrierile sale „cei mai viteji ?i mai drep?i dintre traci”.Trecerea Istrului (Dun?rea): Dup? înfrângerea ge?ilor, Darius a ordonat construirea unui pod de vase peste Dun?re (localizat de istorici în zona actualului ora? Isaccea, jude?ul Tulcea) pentru a trece cu armata în stepele scitice.??? Alte tipuri de conflicte în aceea?i perioad?Pe lâng? marea expedi?ie persan?, în secolul al VI-lea î.Hr. pe teritoriul României aveau loc în mod constant conflicte locale, eviden?iate de cercet?rile arheologice:Conflictele dintre popula?ia local? ?i coloniile grece?ti: Pe litoralul M?rii Negre se înfiin?eaz? cet??i grece?ti precum Histria (fondat? în sec. VII î.Hr.) sau Tomis ?i Callatis (sec. VI-V î.Hr.). Rela?iile dintre greci ?i aristocra?ia getic? local? alternau între schimburi comerciale intense ?i ciocniri violente pentru controlul teritoriilor agricole.Incursunile scitice: Triburile de sci?i nomazi p?trundeau adesea la vest de Prut ?i în Câmpia Român? în scop de prad? sau extindere a zonelor de p??unat, intrând în conflict direct cu triburile sedentare geto-dace.R?zboaie inter-tribale: Comunit??ile autohtone din Epoca Fierului (Hallstatt târziu) erau fragmentate în uniuni de triburi care se atacau reciproc pentru resurse, p?mânt ?i prestigiu militar."
5 BC,"1. Urm?rile expedi?iei persane a lui Darius I ?i revoltele geto-sciticeDe?i campania marelui rege persan Darius I împotriva sci?ilor a avut loc în anul 513 î.Hr. (la sfâr?itul secolului al VI-lea î.Hr.), efectele ?i conflictele generate de aceasta s-au prelungit adânc în secolul al V-lea î.Hr.Dup? ce ge?ii au fost singurii traci care s-au opus cu dârzenie armatei persane înainte ca aceasta s? treac? Dun?rea, regiunea a r?mas o perioad? sub o relativ? influen?? sau supraveghere persan?.La începutul secolului al V-lea î.Hr., odat? cu înfrângerile suferite de per?i în Grecia (R?zboaiele Persane), st?pânirea lor la nord de Balcani s-a pr?bu?it. Acest lucru a declan?at conflicte locale de eliberare ?i rea?ez?ri de for?e între ge?i, sci?i ?i garnizoanele persane r?mase în regiunea tracic?.2. Conflictele de frontier? dintre Ge?i ?i Regatul OdrisÎn prima jum?tate a secolului al V-lea î.Hr., regele Teres I unific? triburile trace din sud ?i înfiin?eaz? Regatul Odris (cel mai puternic stat trac de la acea vreme).R?zboaiele de expansiune: Regatul Odris ?i-a extins grani?ele spre nord, ajungând pân? la Dun?re. Acest lucru a dus la ciocniri militare inevitabile cu triburile de ge?i autohtoni din Dobrogea ?i din stânga Dun?rii.Pacea ?i tributul: În cele din urm?, conflictele s-au stabilizat printr-o form? de suzeranitate: ge?ii din Dobrogea (dreapta Dun?rii) au fost integra?i par?ial în sfera de influen?? odris? ?i au fost obliga?i s? pl?teasc? tribut, devenind îns? ?i alia?i militari de baz? (ca arca?i c?lare) în campaniile odrise din Balcani.3. Incursiunile ?i presiunea Sci?ilor în Dobrogea ?i MoldovaSecolul al V-lea î.Hr. a fost marcat de mi?c?ri masive ale popula?iilor scitice din stepele nord-pontice (Ucraina de ast?zi) spre interiorul teritoriului României.Conflictul odriso-scit: În jurul anului 450 î.Hr., expansiunea sci?ilor condu?i de regele Scyles spre Dun?re a provocat un conflict militar direct cu Regatul Odris (condus de regele Sitalces). R?zboiul deschis a fost evitat în ultimul moment printr-o alian?? matrimonial? ?i stabilirea grani?ei pe fluviul Dun?rea, îns? tensiunile armate de frontier? au r?mas constante.Invaziile din Moldova ?i Transilvania: Arheologia confirm? numeroase conflicte locale violente. Descoperirile de vârfuri de s?ge?i scitice de tip trei muchii (specifice secolului V î.Hr.) în a?ez?rile autohtone din Moldova ?i din estul Transilvaniei demonstreaz? incursiuni militare de jaf ?i confrunt?ri sângeroase între ge?ii sedentari ?i nomazii sci?i.4. Conflictele legate de coloniile grece?ti de la Marea Neagr?Ora?ele-stat grece?ti de pe litoral (Histria, Tomis, Callatis) au traversat în secolul al V-lea î.Hr. perioade de mari tensiuni militare.Ele trebuiau s? î?i apere teritoriul agricol (chora) prin r?zboaie locale împotriva triburilor de ge?i ?i sci?i din hinterland, care organizau atacuri pentru prad? sau cereau tribut (taxe de protec?ie).Histria, de pild?, a fost par?ial distrus? spre sfâr?itul secolului al VI-lea sau începutul secolului al V-lea î.Hr., cel mai probabil în urma unui astfel de conflict violent cu localnicii sau ca urmare a retragerii persane, fiind ulterior reconstruit? ?i fortificat? masiv."
4 BC,"1. Expedi?ia lui Alexandru cel Mare la nord de Dun?re (335 î.Hr.)Context: În prim?vara anului 335 î.Hr., tân?rul rege Alexandru cel Mare a pornit o campanie în Balcani pentru a pacifica triburile r?zvr?tite. Urm?rindu-i pe tribali pân? la Dun?re (probabil în zona Zimnicea), el a fost întâmpinat pe malul nordic de o armat? masiv? de ge?i.Desf??urarea conflictului: Pentru a neutraliza amenin?area, Alexandru a traversat fluviul noaptea, pe ascuns, folosind b?rci improvizate din trunchiuri de copaci (monoxile) ?i burdufuri de piele umplute cu fân. A surprins oastea getic? format? din aproximativ 14.000 de lupt?tori.Rezultat: Speria?i de apari?ia nea?teptat? a falangei macedonene ?i de tactica cavaleriei, ge?ii s-au retras. Alexandru le-a distrus o a?ezare fortificat?, a luat prada ?i s-a întors rapid la sud de Dun?re, consolidându-?i autoritatea în regiune.2. Dezastrul militar al generalului macedonean Zopyrion (cca. 331–325 î.Hr.)Context: În timp ce Alexandru cel Mare era plecat în campania din Asia, guvernatorul macedonean al Traciei, Zopyrion, a organizat o expedi?ie proprie spre nordul M?rii Negre cu o armat? impresionant? de 30.000 de solda?i.Desf??urarea conflictului: Zopyrion a asediat f?r? succes cetatea greceasc? Olbia (la gurile Bugului). În timpul unei retrageri haotice prin teritoriile de la gurile Dun?rii ?i Dobrogei de ast?zi, armata sa a fost blocat? de o furtun? violent?.Rezultat: Profitând de vulnerabilitatea macedonenilor, o coali?ie local? format? din ge?i ?i sci?i a atacat ?i a nimicit complet armata invadatoare. Însu?i generalul Zopyrion a fost ucis în aceast? lupt?.3. Începutul r?zboaielor dintre Lysimah ?i Dromichaetes (sfâr?itul sec. al IV-lea î.Hr.)Context: Dup? moartea lui Alexandru cel Mare, generalul s?u Lysimah a preluat conducerea Traciei ?i a încercat s? î?i extind? st?pânirea la nord de Dun?re.Desf??urarea conflictului: Primele ciocniri violente au izbucnit în ultimele decenii ale secolului al IV-lea î.Hr. Macedonenii au invadat teritoriile getice (Câmpia Român? de ast?zi), îns? ge?ii, condu?i de regele Dromichaetes, au aplicat tactica p?mântului pârjolit ?i a h?r?uirii constante.Rezultat: Sl?bite de foame ?i sete, armatele macedonene au suferit înfrângeri repetate. Conflictul a culminat la începutul secolului urm?tor (cca. 292 î.Hr.) cu capturarea spectaculoas? a lui Lysimah ?i semnarea unei p?ci celebre.4. P?trunderea triburilor celtice în Transilvania (sfâr?itul sec. al IV-lea î.Hr.)Context: Spre finalul secolului al IV-lea î.Hr., triburile celtice (printre care ?i scordiscii) au început o migra?ie masiv? din Europa Central? spre interiorul Arcului Carpatic ?i Peninsula Balcanic?.Desf??urarea conflictului: Intrarea cel?ilor pe teritoriul de ast?zi al Transilvaniei ?i Olteniei nu a fost complet pa?nic?. Descoperirile arheologice indic? conflicte locale violente cu comunit??ile autohtone geto-dace pentru controlul resurselor de sare ?i metale.Rezultat: Dup? faza ini?ial? de confrunt?ri armate, cele dou? popula?ii au ajuns la o coabitare stabil?, cel?ii fiind asimila?i treptat de masa dacic? local?."
3 BC," R?zboaiele dintre Dromihete ?i Lisimah (aprox. 300 – 292 î.Hr.)Acesta este cel mai faimos conflict militar din aceast? perioad?, desf??urat în câmpiile din sudul României (Muntenia/Dobrogea) între ge?ii condu?i de regele Dromihete ?i Regatul Traciei, condus de generalul macedonean Lisimah.Campania din 300 î.Hr.: Lisimah trimite o armat? condus? de fiul s?u, Agatocle, dincolo de Dun?re. Ge?ii ob?in o victorie total?, iar Agatocle este luat prizonier.Campania din 292 î.Hr.: Lisimah conduce personal o uria?? expedi?ie militar? la nord de Dun?re. Armata macedonean? este încercuit? în stepele dobrogene sau muntene din cauza lipsei de ap? ?i hran?. Lisimah este capturat ?i dus în cetatea getic? Helis. Conflictul se încheie cu un tratat de pace celebru, prin care Dromihete îi red? libertatea macedoneanului în schimbul retroced?rii cet??ilor dun?rene.??? Invazia ?i conflictele cu Cel?ii (aprox. 280 – 250 î.Hr.)La începutul secolului al III-lea î.Hr., triburile celtice (gala?ii) au migrat masiv spre Balcani, traversând ?i stabilindu-se pe teritoriul României.În Transilvania: Cel?ii (în special triburile scordiscilor, tauriscilor ?i anar?ilor) s-au ciocnit militar cu comunit??ile dacice locale. De?i au cucerit par?ial podi?ul Transilvaniei, dacii au rezistat în zonele montane, generând un conflict de uzur? care a durat decenii, pân? când cele dou? culturi au început s? convie?uiasc?.În Oltenia ?i Banat: Tribul celtic al scordiscilor a purtat lupte grele ?i repetate cu ge?ii din zonele de câmpie pentru controlul Dun?rii.? Conflictele din Dobrogea ?i Scythia Minor (aprox. 260 – 250 î.Hr.)Zona litoralului românesc al M?rii Negre a fost zguduit? de conflicte între cet??ile grece?ti aliate cu lideri locali ?i marile puteri elenistice.R?zboiul pentru Tomis (aprox. 260 î.Hr.): Cet??ile Callatis (Mangalia) ?i Histria s-au aliat ?i au intrat în conflict cu Byzantionul pentru controlul emporiului (pie?ei comerciale) de la Tomis (Constan?a). Histria ?i Callatis au fost înfrânte în urma interven?iei flotei regelui ptolemeic din Egipt.Presiunea conduc?torilor ge?i: Pe parcursul întregului secol, regii ge?i din Dobrogea (cum ar fi Zalmodegikos sau Rhemaxos) au impus protectorate militare cet??ilor grece?ti, oferindu-le „ap?rare” împotriva altor barbari în schimbul unor sume de bani (tribut), ac?iuni dublate adesea de demonstra?ii de for?? militar?.?? Conflictele cu Bastarnii (sfâr?itul sec. III î.Hr.)Spre finalul secolului al III-lea î.Hr., bastarnii (o popula?ie de origine germanic? sau celto-germanic?) p?trund în nordul Moldovei ?i în Câmpia Român?. Ace?tia au intrat imediat în conflicte teritoriale sângeroase cu triburile geto-dace locale, pe care le-au împins treptat spre sud ?i vest."
2 BC,"1. Conflictele regelui Oroles împotriva bastarnilorLa începutul secolului al II-lea î.Hr., bastarnii (o popula?ie de origine germanic? sau celto-germanic?) au migrat din nordul Europei ?i au p?truns în estul ?i nord-estul teritoriului de azi al României (zona Moldovei).Desf??urare: Regele geto-dac Oroles s-a izbit militar de ace?ti invadatori. Istoricul Trogus Pompeius men?ioneaz? c?, într-o prim? faz?, dacii lui Oroles au fost învin?i. Drept pedeaps? pentru la?itate, regele i-a obligat pe r?zboinici s? spele vasele ?i s? îndeplineasc? sarcinile casnice ale so?iilor lor pân? când ?i-au sp?lat ru?inea, învingându-i ulterior pe bastarni într-o b?t?lie decisiv?.2. Campania lui Rubobostes ?i st?pânirea cel?ilorÎn prima jum?tate a secolului al II-lea î.Hr., vestul ?i nord-vestul României (Transilvania) se aflau par?ial sub influen?a politic? ?i militar? a triburilor celtice (în special scordiscii ?i tauriscii).Desf??urare: Uniunea de triburi condus? de regele dac Rubobostes a declan?at o serie de r?zboaie împotriva cel?ilor. Succesul militar al lui Rubobostes a marcat o schimbare major?: oprirea expansiunii celtice ?i o cre?tere semnificativ? a puterii dacilor în Transilvania, eveniment considerat de istorici un precursor al unific?rii de mai târziu a lui Burebista.3. Conflictele de pe Dun?re ?i atacurile scordiscilorZona de sud a României (Câmpia Român? ?i Dobrogea) a fost ?inta unor incursiuni de jaf repetate din partea scordiscilor (un trib celtic puternic a?ezat în zona Belgradului de ast?zi).Desf??urare: Ace?tia atacau frecvent triburile de ge?i de-a lungul Dun?rii ?i cet??ile grece?ti pontice. Ge?ii din aceste regiuni au fost implica?i în mod constant în ciocniri de ap?rare ?i h?r?uieli de frontier? pentru a-?i proteja a?ez?rile fortificate (davele).Summary: Principalele tabere în conflictZona Geografic?Cine se lupta?Rezultatul istoricMoldova / EstGe?ii (Oroles) vs. BastarniRespingerea ini?ial? a bastarnilor; stabilizarea grani?ei de est.Transilvania / VestDacii (Rubobostes) vs. Cel?iÎnfrângerea cel?ilor; afirmarea puterii militare a dacilor în Ardeal.Dun?re / SudGe?ii vs. Scordiscii (cel?i)Conflicte de uzur? ?i jaf; men?inerea controlului asupra trec?torilor Dun?rii.Aceste r?zboaie din secolul al II-lea î.Hr. au consolidat elitele militare dace, transformând societatea local? într-una extrem de r?zboinic?. Acest proces a preg?tit terenul pentru secolul urm?tor (secolul I î.Hr.), când regele Burebista a reu?it s? uneasc? toate aceste triburi într-un singur mare regat."
1 BC,"1. Campaniile de expansiune ?i unificare ale lui Burebista (aprox. 60–44 î.Hr.)Regele Burebista a unificat triburile geto-dace ?i a creat un stat puternic, purtând r?zboaie sângeroase pe teritoriul de azi al României ?i în zonele limitrofe pentru a-?i elimina rivalii sau invadatorii:R?zboiul împotriva cel?ilor (boii ?i tauriscii): În jurul anului 60–59 î.Hr., Burebista a atacat ?i zdrobit confedera?iile celtice din vestul ?i nord-vestul teritoriului dacic (zona Tisei ?i vestul României de azi). Cel?ii au fost atât de crunt învin?i, încât teritoriul lor a r?mas cunoscut în epoc? drept „pustiul boic”.Campania împotriva bastarnilor ?i sci?ilor: Burebista a purtat lupte în estul României (Moldova) ?i peste Prut pentru a securiza grani?a estic? împotriva acestor popula?ii germanice ?i iraniene.Cucerirea ora?elor grece?ti de pe litoralul Pontului Euxin (55–48 î.Hr.): Burebista a pornit o campanie militar? fulger?toare prin Dobrogea actual?. A asediat ?i cucerit rând pe rând coloniile grece?ti aliate sau aflate sub influen?a Romei: Histria, Tomis (Constan?a), Callatis (Mangalia), mergând pân? la Apollonia (în Bulgaria de azi). Histria a fost par?ial distrus? în urma acestui conflict.2. Implicarea în R?zboiul Civil Roman (48 î.Hr.)Puterea militar? a geto-dacilor de pe teritoriul României a devenit atât de mare, încât Burebista a intervenit direct în politica Romei. În timpul r?zboiului civil dintre Iulius Caesar ?i Pompei, regele dac l-a sprijinit pe Pompei, trimi?ându-i promisiuni de ajutor militar printr-un diplomat numit Acornion din Dionysopolis.Pompei a fost îns? învins la Pharsalus în 48 î.Hr., iar Caesar a planificat o mare campanie militar? de r?zbunare ?i cucerire a Daciei. Conflictul direct de propor?ii nu a mai avut loc, deoarece ambii lideri au fost asasina?i în anul 44 î.Hr.3. Conflictele interne ?i fragmentarea Regatului Dac (dup? 44 î.Hr.)Dup? asasinarea lui Burebista în anul 44 î.Hr., statul dac s-a destr?mat ini?ial în 4, iar mai apoi în 5 regate mai mici, conduse de regi-preo?i (precum Deceneu sau Comosicus) sau lideri locali (ca Dicames, Cotiso, Roles).Aceast? perioad? a fost marcat? de r?zboaie interne de succesiune între diversele forma?iuni statale dace de pe teritoriul României, sl?bind puterea centralizat? a ge?ilor.4. Primele confrunt?ri daco-romane la Dun?re (aprox. 30–10 î.Hr.)Profitând de sl?biciunea dacilor dup? moartea lui Burebista, romanii au început s? î?i extind? influen?a spre Dun?re. Regii daci din zona Dobrogei ?i a Dun?rii de Jos s-au aliat sau s-au b?tut între ei, implicând ?i armata roman?.R?zboiul lui Marcus Licinius Crassus în Dobrogea (29–28 î.Hr.): Generalul roman Crassus (nepotul triumvirului) a intervenit la Dun?re în sprijinul unui rege get local numit Roles, care se afla în conflict cu Dapyx (un alt ?ef get). Romanii au asediat cetatea lui Dapyx ?i ulterior au cucerit ?i pe cea a regelui Zyraxes (Genucla). În urma acestui conflict sângeros, Dobrogea a intrat sub controlul indirect al Romei, devenind treptat parte a sferei de influen?? romane.Incursiunile dacilor transdanubieni: Spre sfâr?itul secolului I î.Hr., iarna, când Dun?rea înghe?a, triburile dace din interiorul arcului carpatic (conduse uneori de regi precum Cotiso) treceau fluviul pentru a pr?da provinciile romane din Balcani (Moesia), generând expedi?ii romane de represalii pe teritoriul de azi al Olteniei ?i Munteniei."
1 AD,"1. Campania generalului Sextus Aelius Catus (aprox. 11–12 d.Hr.)Context: Dup? destr?marea regatului lui Burebista, dacii erau diviza?i în mai multe uniuni de triburi. Ace?tia atacau frecvent provincia roman? Moesia (la sud de Dun?re).Desf??urare: Generalul roman Sextus Aelius Catus a condus o expedi?ie de pedepsire la nord de Dun?re. El a str?mutat for?at aproximativ 50.000 de ge?i în sudul Dun?rii (în Moesia), pentru a-i aduce sub control roman ?i pentru a depopula o zon? folosit? ca baz? de atac.2. Campania lui Plautius Silvanus Aelianus (aprox. 57–67 d.Hr.)Context: În timpul domniei împ?ratului Nero, tensiunile de la grani?a dun?rean? au crescut din cauza mi?c?rilor de popula?ii barbare (sarma?i, bastarni, daci).Desf??urare: Guvernatorul Moesiei, Plautius Silvanus, a intervenit militar la nord de Dun?re. Acesta a pacificat regiunea ?i a str?mutat peste 100.000 de transdanubieni (inclusiv daci, bastarni ?i sarmati) în sudul fluviului, obligându-i s? pl?teasc? tribut Romei.3. R?zboiul daco-roman din timpul lui Domi?ian (85–89 d.Hr.)Acesta a fost cel mai mare conflict al secolului I pe teritoriul României, izbucnit în timpul regelui dac Duras ?i continuat sub conducerea lui Decebal.Atacul dacilor din 85–86 d.Hr.: Dacii au trecut iarna Dun?rea înghe?at?, au devastat Moesia ?i l-au ucis pe guvernatorul Oppius Sabinus.Expedi?ia lui Cornelius Fuscus (87 d.Hr.) – Prima B?t?lie de la Tapae: Împ?ratul Domi?ian a trimis o armat? uria?? la nord de Dun?re, condus? de prefectul pretoriului, Cornelius Fuscus. Armata roman? a c?zut într-o ambuscad? în trec?toarea Tapae (Por?ile de Fier ale Transilvaniei). Dacii au ob?inut o victorie zdrobitoare, Fuscus a fost ucis, iar Legiunea a V-a Alaudae a fost masacrat?, romanii pierzând steagurile ?i ma?inile de r?zboi.Campania lui Tettius Iulianus (88 d.Hr.) – A doua B?t?lie de la Tapae: Romanii au trimis o nou? armat? sub comanda generalului Tettius Iulianus. De data aceasta, romanii au câ?tigat b?t?lia de la Tapae, provocând pierderi mari dacilor, dar nu au putut înainta spre capitala Sarmizegetusa Regia din cauza dificult??ii terenului ?i a altor revolte barbare la grani?ele imperiului.Pacea din 89 d.Hr.: Domi?ian ?i Decebal au încheiat o pace de compromis. Decebal devenea client al Romei, primind subsidii în bani, me?teri militari ?i ingineri de la romani, resurse pe care le-a folosit pentru a-?i fortifica regatul înaintea r?zboaielor inevitabile cu Traian din secolul urm?tor (101-106 d.Hr.)."
2 AD,"1. R?zboaiele Daco-Romane (101–102 ?i 105–106 d.Hr.)Au fost cele mai masive ?i distrug?toare r?zboaie din aceast? perioad?, purtate între Imperiul Roman (condus de împ?ratul Traian) ?i Regatul Dac (condus de regele Decebal).Primul R?zboi Daco-Roman (101–102 d.Hr.): Traian a traversat Dun?rea pentru a neutraliza puterea militar? a dacilor.B?t?lia de la Tapae (101 d.Hr.): Trupele romane ob?in o victorie grea în fa?a dacilor la „Por?ile de Fier ale Transilvaniei”.B?t?lia de la Adamclisi (iarna 101–102 d.Hr.): Desf??urat? în Dobrogea actual?. O contraofensiv? de amploare a dacilor alia?i cu sarma?ii roxolani la sudul Dun?rii este zdrobit? de Traian. R?zboiul se încheie cu o pace provizorie în 102 d.Hr.Al Doilea R?zboi Daco-Roman (105–106 d.Hr.): Declan?at dup? ce Decebal a înc?lcat condi?iile p?cii din 102.Romanii atac? pe mai multe fronturi, asediaz? ?i distrug capitala Sarmizegetusa Regia. Decebal se sinucide pentru a nu c?dea prizonier, iar o mare parte a Daciei devine provincie roman?.2. Conflictele de dup? cucerire ?i revoltele dacilor (117–118 d.Hr.)Moartea împ?ratului Traian în anul 117 d.Hr. a declan?at o criz? major? la frontierele noii provincii Dacia.Atacurile dacilor liberi ?i ale iazigilor: Dacii r?ma?i în afara grani?elor Imperiului (dacii liberi), în alian?? cu triburile sarmate (iazigii din Câmpia de Vest ?i roxolanii din Moldova/Muntenia), au atacat violent provincia Dacia.Guvernatorul provinciei, Gaius Julius Quadratus Bassus, este ucis în lupte. Noul împ?rat, Hadrian, vine personal pe Dun?re pentru a gestiona criza, reorganizând administrativ ?i militar regiunea pentru a respinge invaziile.3. R?zboaiele Marcomanice (cca. 166–180 d.Hr.)În timpul domniei împ?ratului Marcus Aurelius, o coali?ie uria?? de triburi germanice ?i sarmate (marcomani, cvazi, iazigi, bastarni, daci liberi) a atacat frontierele Imperiului Roman, inclusiv Dacia.Teritoriul Transilvaniei ?i Banatului a fost puternic afectat de incursiunile iazigilor ?i ale dacilor liberi (costobocii).Invazia costobocilor (170 d.Hr.): Dacii liberi din nordul ?i nord-estul României de azi (costobocii) au str?puns liniile romane, au devastat Dacia ?i au coborât prin Balcani pân? în Grecia.Romanii au reu?it cu greu s? stabilizeze situa?ia, transformând Dacia într-o zon? puternic militarizat? (atunci a fost adus? Legiunea a V-a Macedonica la Potaissa – Turda de ast?zi)."
